banda,data,local,link_ingresso,logo_url
Sabadão K7 & Os Valvulados,2026-08-22,Espaço Villa do Som - São Paulo,https://www.clubedoingresso.com/evento/sabadaok7-osvalvulados-22-08,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786593665/scraper/production/21970.jpg"
Undercover Fest – Rock In Sampa,2026-08-22,Jai Club - São Paulo,https://www.sympla.com.br/evento/undercover-fest-rock-in-sampa/3449063,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1780372967/scraper/production/21522.jpg"
Tributo Forfun - 15 Anos 'Alegria Compartilhada' no Hangar 110,2026-08-22,Hangar 110 - São Paulo,https://pixelticket.com.br/eventos/32772/tributo-forfun-15-anos-alegria-compartilhada-no-hangar-110,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196892/scraper/production/21898.jpg"
Special Queen,2026-08-22,Shopping Jardim Sul - São Paulo,https://www.sympla.com.br/evento/special-queen/3409291,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1777781137/scraper/production/20843.jpg"
Kiss (Danger) + Scorpions (Dynamite),2026-08-22,Rooftop Galeria do Rock - São Paulo,https://www.clubedoingresso.com/evento/kissdangerscorpionsdynamite,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196728/scraper/production/21827.jpg"
Samir - J4MPA - Pablo Vermell,2026-08-23,Casa Lab - São Paulo,https://www.clubedoingresso.com/evento/samirj4mpapablovermell-casalab,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1787025641/scraper/production/22066.jpg"
Rock BR 80',2026-08-23,Teatro Jardim Sul - São Paulo,https://www.sympla.com.br/evento/rock-br-80/3451719,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1780459367/scraper/production/21546.jpg"
Banda Live 80,2026-08-27,Manifesto Rock Bar - São Paulo,https://www.clubedoingresso.com/evento/bandalive80-manifesto-27-08,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196739/scraper/production/21828.jpg"
Lyra And The Dreamers + Juniper e Jhony Brasil + Jardim Depressa,2026-08-28,Casa Lab - São Paulo,https://www.clubedoingresso.com/evento/lyraandthedreamersjuniperjhonybrasiljardimdepressa,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786420850/scraper/production/21934.jpg"
Raimundos 30 anos,2026-08-28,Manifesto Rock Bar - São Paulo,https://www.clubedoingresso.com/evento/raimundos30anos,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196741/scraper/production/21829.jpg"
RUSH (2113),2026-08-28,Rooftop Galeria do Rock - São Paulo,https://www.clubedoingresso.com/evento/rush2113-rooftop,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196745/scraper/production/21831.jpg"
Memphis May Fire e Blessthefall,2026-08-29,Carioca Club Pinheiros - São Paulo,https://www.clubedoingresso.com/evento/memphismayfire-blessthefall-sp,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1772856226/scraper/production/18932.jpg"
Covers: Sleep Token - Linkin Park - Bad Omens,2026-08-29,Manifesto - São Paulo,https://www.clubedoingresso.com/evento/coverssleeptokenlinkinparkbadomens,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196748/scraper/production/21832.jpg"
Indie Experience - Na Rua Augusta,2026-08-29,Augusta Hi Fi - São Paulo,https://www.clubedoingresso.com/evento/indieexperiencenaruaaugusta,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196752/scraper/production/21833.jpg"
Márcio Sanches Apresenta Classical Queen + Radiotunes,2026-08-29,Rooftop Galeria do Rock - São Paulo,https://www.clubedoingresso.com/evento/marciosachesclassicalqueenradiotunes,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196757/scraper/production/21834.jpg"
Gloria,2026-08-29,Hangar 110 - São Paulo,https://pixelticket.com.br/eventos/32810/gloria,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196890/scraper/production/21897.jpg"
Children Rock Fest - Covers Foo Fighters e Korn,2026-08-30,Manifesto Rock Bar - São Paulo,https://www.clubedoingresso.com/evento/childrenrockfestcoversfoofighterskornmanifesto,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786680054/scraper/production/22001.jpg"
Festa de Audição - Álbum Shards,2026-08-30,Casa Lab - São Paulo,https://www.clubedoingresso.com/evento/festadeaudicao-albumshards,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1787025641/scraper/production/22067.jpg"
Sanctuary,2026-08-30,Burning House - São Paulo,https://www.ingressomaster.com/setores/62/sanctuary,a confirmar
